Transcript	DataBase.x	ProteinCode.x	ProteinName.x	DataBase.y	ProteinCode.y	ProteinName.y
TRINITY_DN10038_c0_g1_i1	sp	P41252	SYIC_HUMAN	NA	NA	NA
TRINITY_DN100395_c0_g1_i1	sp	Q5RAX0	PAF1_PONAB	NA	NA	NA
TRINITY_DN1004_c0_g1_i2	sp	Q460N5	PAR14_HUMAN	NA	NA	NA
TRINITY_DN1004_c0_g1_i4	sp	Q460N5	PAR14_HUMAN	NA	NA	NA
TRINITY_DN100438_c0_g1_i1	sp	G5EBQ8	CHS2_CAEEL	NA	NA	NA
TRINITY_DN10045_c0_g1_i2	sp	Q283Q6	DBF4B_XENLA	NA	NA	NA
TRINITY_DN10046_c0_g1_i1	sp	Q5SUR0	PUR4_MOUSE	NA	NA	NA
TRINITY_DN10049_c0_g1_i1	sp	O14917	PCD17_HUMAN	NA	NA	NA
TRINITY_DN1005_c3_g1_i3	sp	Q4R6P1	F200A_MACFA	NA	NA	NA
TRINITY_DN1005_c3_g1_i5	sp	Q4R6P1	F200A_MACFA	NA	NA	NA
TRINITY_DN10051_c5_g1_i2	sp	Q7T2V3	M3K10_XENLA	NA	NA	NA
TRINITY_DN10052_c0_g1_i3	sp	Q8IXH6	T53I2_HUMAN	NA	NA	NA
TRINITY_DN10052_c0_g1_i4	sp	Q8IXH6	T53I2_HUMAN	NA	NA	NA
TRINITY_DN100523_c0_g1_i1	sp	Q9UFH2	DYH17_HUMAN	NA	NA	NA
TRINITY_DN10054_c1_g2_i2	sp	Q9Y251	HPSE_HUMAN	NA	NA	NA
TRINITY_DN10055_c0_g1_i1	sp	Q8BX37	ACP7_MOUSE	NA	NA	NA
TRINITY_DN10055_c0_g1_i2	sp	Q8BX37	ACP7_MOUSE	NA	NA	NA
TRINITY_DN100551_c0_g1_i1	sp	Q3T147	DX39B_BOVIN	NA	NA	NA
TRINITY_DN10057_c0_g1_i2	sp	Q8WXW3	PIBF1_HUMAN	NA	NA	NA
TRINITY_DN10058_c5_g1_i1	sp	A1ZAX0	CCH1R_DROME	NA	NA	NA
TRINITY_DN10059_c0_g1_i1	sp	Q04870	T2FA_XENLA	NA	NA	NA
TRINITY_DN100598_c0_g1_i1	sp	Q8BTQ0	PCGF3_MOUSE	NA	NA	NA
TRINITY_DN10060_c1_g1_i1	sp	Q3ZCX4	ZN568_HUMAN	NA	NA	NA
TRINITY_DN100604_c0_g1_i1	sp	Q20065	P4HA2_CAEEL	NA	NA	NA
TRINITY_DN10061_c0_g1_i1	sp	O44252	ROST_DROME	NA	NA	NA
TRINITY_DN100611_c0_g1_i1	sp	Q5ZL21	MMAC_CHICK	NA	NA	NA
TRINITY_DN100619_c0_g1_i1	sp	Q95KD7	CC191_MACFA	NA	NA	NA
TRINITY_DN10062_c0_g1_i1	sp	Q8IV01	SYT12_HUMAN	NA	NA	NA
TRINITY_DN10063_c0_g1_i1	sp	Q8IYX0	ZN679_HUMAN	NA	NA	NA
TRINITY_DN10063_c0_g1_i5	sp	Q8IYX0	ZN679_HUMAN	NA	NA	NA
TRINITY_DN10063_c0_g1_i9	sp	Q86TJ5	ZN554_HUMAN	NA	NA	NA
TRINITY_DN10063_c1_g1_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN10063_c1_g1_i2	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN10063_c1_g2_i1	sp	P18729	ZG57_XENLA	NA	NA	NA
TRINITY_DN10064_c0_g3_i3	sp	Q803C3	HDAC3_DANRE	NA	NA	NA
TRINITY_DN10064_c0_g3_i4	sp	Q803C3	HDAC3_DANRE	NA	NA	NA
TRINITY_DN10064_c3_g2_i3	sp	Q9NBX4	RTXE_DROME	sp	Q95SX7	RTBS_DROME
TRINITY_DN10064_c4_g1_i1	sp	P42026	NDUS7_BOVIN	NA	NA	NA
TRINITY_DN10064_c4_g1_i3	sp	P42026	NDUS7_BOVIN	NA	NA	NA
TRINITY_DN100644_c0_g1_i1	sp	E1BWM5	FUND1_CHICK	NA	NA	NA
TRINITY_DN10065_c0_g1_i1	sp	Q9Z2X3	PSD10_RAT	NA	NA	NA
TRINITY_DN10065_c0_g1_i2	sp	Q9Z2X3	PSD10_RAT	NA	NA	NA
TRINITY_DN100660_c0_g1_i1	sp	Q32PC3	RM27_BOVIN	NA	NA	NA
TRINITY_DN10067_c0_g1_i1	sp	Q8N8E2	ZN513_HUMAN	NA	NA	NA
TRINITY_DN10067_c0_g1_i3	sp	Q8N143	BCL6B_HUMAN	NA	NA	NA
TRINITY_DN10067_c0_g1_i7	sp	A0JNB1	ZN227_BOVIN	NA	NA	NA
TRINITY_DN10067_c1_g1_i1	sp	O93567	ZBT7A_CHICK	NA	NA	NA
TRINITY_DN10067_c7_g1_i1	sp	A1L1J6	ZN652_RAT	NA	NA	NA
TRINITY_DN10068_c0_g1_i1	sp	Q5IS65	5HT6R_PANTR	NA	NA	NA
TRINITY_DN100686_c0_g1_i1	sp	Q2PC93	SSPO_CHICK	NA	NA	NA
TRINITY_DN1007_c16_g1_i2	sp	P33267	CP2F2_MOUSE	NA	NA	NA
TRINITY_DN1007_c16_g1_i3	sp	O54750	CP2J6_MOUSE	NA	NA	NA
TRINITY_DN10070_c2_g1_i1	sp	Q923G2	RPAB3_MOUSE	NA	NA	NA
TRINITY_DN10070_c2_g1_i2	sp	Q923G2	RPAB3_MOUSE	NA	NA	NA
TRINITY_DN10070_c6_g1_i1	sp	Q9WVL6	EXTL3_MOUSE	NA	NA	NA
TRINITY_DN10070_c7_g1_i1	sp	Q9WVL6	EXTL3_MOUSE	NA	NA	NA
TRINITY_DN10071_c0_g1_i1	sp	Q9R1S0	B9D1_MOUSE	NA	NA	NA
TRINITY_DN10071_c0_g1_i2	sp	Q9R1S0	B9D1_MOUSE	NA	NA	NA
TRINITY_DN10071_c0_g1_i3	sp	Q9R1S0	B9D1_MOUSE	NA	NA	NA
TRINITY_DN100733_c0_g1_i1	sp	Q14588	ZN234_HUMAN	NA	NA	NA
TRINITY_DN10075_c0_g1_i1	sp	Q9NWU2	GID8_HUMAN	NA	NA	NA
TRINITY_DN10075_c0_g1_i2	sp	Q9NWU2	GID8_HUMAN	NA	NA	NA
TRINITY_DN100750_c0_g1_i1	sp	P70587	LRRC7_RAT	NA	NA	NA
TRINITY_DN10076_c0_g1_i1	sp	A6QP74	CALRL_BOVIN	NA	NA	NA
TRINITY_DN10076_c0_g1_i5	sp	Q68EK2	CALRL_DANRE	NA	NA	NA
TRINITY_DN10076_c0_g1_i9	sp	P79222	CALCR_RABIT	NA	NA	NA
TRINITY_DN100769_c0_g1_i2	sp	Q4VNC0	AT135_HUMAN	NA	NA	NA
TRINITY_DN1008_c11_g1_i3	sp	P04323	POL3_DROME	NA	NA	NA
TRINITY_DN1008_c7_g1_i1	sp	Q92556	ELMO1_HUMAN	NA	NA	NA
TRINITY_DN1008_c8_g3_i2	sp	Q9VKM6	VPS72_DROME	NA	NA	NA
TRINITY_DN100812_c0_g1_i1	sp	P20825	POL2_DROME	NA	NA	NA
TRINITY_DN100827_c0_g1_i1	sp	Q9P215	POGK_HUMAN	NA	NA	NA
TRINITY_DN100829_c0_g1_i1	sp	Q9HES8	PYC_ASPNG	NA	NA	NA
TRINITY_DN10083_c0_g1_i1	sp	P11833	TBB_PARLI	NA	NA	NA
TRINITY_DN10083_c0_g1_i2	sp	P11833	TBB_PARLI	NA	NA	NA
TRINITY_DN10084_c0_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN10084_c0_g1_i2	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN10084_c0_g1_i4	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN10084_c0_g1_i8	sp	Q8C827	ZFP62_MOUSE	NA	NA	NA
TRINITY_DN10084_c0_g2_i1	sp	Q6P2D0	ZFP1_HUMAN	NA	NA	NA
TRINITY_DN10084_c0_g3_i1	sp	P24399	ZN239_MOUSE	NA	NA	NA
TRINITY_DN10084_c0_g4_i1	sp	Q5R5U3	ZN271_PONAB	NA	NA	NA
TRINITY_DN10084_c0_g5_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN10084_c0_g6_i1	sp	Q12901	ZN155_HUMAN	NA	NA	NA
TRINITY_DN10084_c1_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN10084_c1_g2_i1	sp	Q4VA44	ZN664_MOUSE	NA	NA	NA
TRINITY_DN10089_c1_g1_i1	sp	Q00651	ITA4_MOUSE	NA	NA	NA
TRINITY_DN10089_c1_g1_i3	sp	B8JK39	ITA9_MOUSE	NA	NA	NA
TRINITY_DN10089_c1_g1_i4	sp	Q00651	ITA4_MOUSE	NA	NA	NA
TRINITY_DN10089_c2_g1_i1	sp	Q9HAV4	XPO5_HUMAN	NA	NA	NA
TRINITY_DN100905_c0_g1_i1	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN10095_c0_g1_i2	sp	A6NK53	ZN233_HUMAN	NA	NA	NA
TRINITY_DN10095_c0_g2_i1	sp	Q01793	KRUP_TRICA	NA	NA	NA
TRINITY_DN10095_c2_g1_i4	sp	Q5M868	GBA2_RAT	NA	NA	NA
TRINITY_DN10095_c3_g1_i1	sp	Q2M218	ZN630_HUMAN	NA	NA	NA
TRINITY_DN100960_c0_g1_i1	sp	O94343	YHMA_SCHPO	NA	NA	NA
TRINITY_DN10097_c0_g1_i1	sp	Q9UI36	DACH1_HUMAN	NA	NA	NA
TRINITY_DN10097_c0_g1_i2	sp	Q9UI36	DACH1_HUMAN	NA	NA	NA
TRINITY_DN10097_c0_g2_i1	sp	Q6NZK5	K1328_MOUSE	NA	NA	NA
TRINITY_DN10097_c0_g2_i2	sp	Q6NZK5	K1328_MOUSE	NA	NA	NA
TRINITY_DN101_c0_g1_i1	sp	P18425	SCR20_NOTSL	NA	NA	NA
TRINITY_DN101_c1_g1_i1	sp	P18425	SCR20_NOTSL	NA	NA	NA
TRINITY_DN101_c1_g1_i3	sp	P18425	SCR20_NOTSL	NA	NA	NA
TRINITY_DN101_c1_g1_i4	sp	P18425	SCR20_NOTSL	NA	NA	NA
TRINITY_DN101_c2_g1_i1	sp	P18425	SCR20_NOTSL	NA	NA	NA
TRINITY_DN1010_c0_g1_i2	sp	Q6GLQ4	PP1RA_XENLA	NA	NA	NA
TRINITY_DN1010_c0_g1_i3	sp	Q6GLQ4	PP1RA_XENLA	NA	NA	NA
TRINITY_DN1010_c0_g1_i5	sp	Q6GLQ4	PP1RA_XENLA	NA	NA	NA
TRINITY_DN101002_c0_g1_i1	sp	A4IGL7	PXDN_XENTR	NA	NA	NA
TRINITY_DN101003_c0_g1_i1	sp	Q9Z306	S22A4_MOUSE	NA	NA	NA
TRINITY_DN101005_c0_g1_i1	sp	P05099	MATN1_CHICK	NA	NA	NA
TRINITY_DN101005_c0_g1_i2	sp	P05099	MATN1_CHICK	NA	NA	NA
TRINITY_DN10101_c1_g2_i2	sp	P35072	TCB1_CAEBR	NA	NA	NA
TRINITY_DN101010_c0_g1_i1	sp	Q8IYW2	CFA46_HUMAN	NA	NA	NA
TRINITY_DN10103_c0_g1_i22	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN10103_c0_g1_i24	sp	Q8I7P9	POL5_DROME	sp	Q9UR07	TF211_SCHPO
TRINITY_DN101040_c0_g1_i1	sp	A0A1B0GTJ6	SAXO3_HUMAN	NA	NA	NA
TRINITY_DN10105_c0_g1_i21	sp	A8YPR9	SVMI1_CERCE	NA	NA	NA
TRINITY_DN101074_c0_g1_i1	sp	Q7JQ07	MOS1T_DROMA	NA	NA	NA
TRINITY_DN101084_c0_g1_i2	sp	Q8NEY3	SPAT4_HUMAN	NA	NA	NA
TRINITY_DN101084_c0_g1_i3	sp	Q6DMN8	SPAT4_PANTR	NA	NA	NA
TRINITY_DN1011_c0_g1_i1	sp	Q68F67	DEN1A_XENLA	NA	NA	NA
TRINITY_DN1011_c0_g1_i3	sp	Q68F67	DEN1A_XENLA	NA	NA	NA
TRINITY_DN1011_c0_g1_i5	sp	Q68F67	DEN1A_XENLA	NA	NA	NA
TRINITY_DN1011_c0_g1_i6	sp	Q68F67	DEN1A_XENLA	NA	NA	NA
TRINITY_DN1011_c0_g1_i8	sp	Q68F67	DEN1A_XENLA	NA	NA	NA
TRINITY_DN101124_c0_g1_i1	sp	Q61941	NNTM_MOUSE	NA	NA	NA
TRINITY_DN10113_c0_g1_i1	sp	Q4G069	RMD1_RAT	NA	NA	NA
TRINITY_DN10113_c0_g1_i2	sp	Q4G069	RMD1_RAT	NA	NA	NA
TRINITY_DN10113_c0_g1_i4	sp	Q4G069	RMD1_RAT	NA	NA	NA
TRINITY_DN10116_c0_g1_i1	sp	Q9M9E8	JMJ21_ARATH	NA	NA	NA
TRINITY_DN10116_c0_g1_i2	sp	Q9M9E8	JMJ21_ARATH	NA	NA	NA
TRINITY_DN10117_c0_g1_i2	sp	Q8C031	LRC4C_MOUSE	NA	NA	NA
TRINITY_DN10117_c0_g1_i4	sp	Q8C031	LRC4C_MOUSE	NA	NA	NA
TRINITY_DN10117_c1_g1_i1	sp	P82670	RT10_BOVIN	NA	NA	NA
TRINITY_DN101195_c0_g1_i1	sp	Q8I7P9	POL5_DROME	NA	NA	NA
TRINITY_DN1012_c0_g1_i10	sp	P49193	RALB_TODPA	NA	NA	NA
TRINITY_DN1012_c0_g1_i12	sp	P49193	RALB_TODPA	NA	NA	NA
TRINITY_DN1012_c0_g1_i15	sp	P49193	RALB_TODPA	NA	NA	NA
TRINITY_DN1012_c0_g1_i19	sp	P49193	RALB_TODPA	NA	NA	NA
TRINITY_DN1012_c0_g1_i3	sp	P49193	RALB_TODPA	NA	NA	NA
TRINITY_DN1012_c2_g1_i1	sp	D3K0R6	AT2B4_BOVIN	NA	NA	NA
TRINITY_DN10121_c0_g1_i2	sp	O57683	SF3B1_XENLA	NA	NA	NA
TRINITY_DN10121_c0_g1_i3	sp	O57683	SF3B1_XENLA	NA	NA	NA
TRINITY_DN10121_c1_g2_i1	sp	Q9EQD2	NPFF2_RAT	NA	NA	NA
TRINITY_DN101243_c0_g1_i1	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN101246_c0_g1_i1	sp	Q3KP31	ZN791_HUMAN	NA	NA	NA
TRINITY_DN10127_c0_g2_i1	sp	E2RG47	STT3B_CANLF	NA	NA	NA
TRINITY_DN10128_c0_g1_i1	sp	Q924M5	BOLL_MOUSE	NA	NA	NA
TRINITY_DN10128_c0_g1_i2	sp	Q924M5	BOLL_MOUSE	NA	NA	NA
TRINITY_DN101282_c0_g1_i1	sp	P0C6F1	DYH2_MOUSE	NA	NA	NA
TRINITY_DN10132_c0_g1_i10	sp	Q96JK4	HIPL1_HUMAN	NA	NA	NA
TRINITY_DN10132_c0_g1_i3	sp	Q96JK4	HIPL1_HUMAN	NA	NA	NA
TRINITY_DN10132_c0_g1_i4	sp	Q96JK4	HIPL1_HUMAN	NA	NA	NA
TRINITY_DN10132_c0_g1_i9	sp	Q6UWX4	HIPL2_HUMAN	NA	NA	NA
TRINITY_DN101344_c0_g1_i1	sp	Q9U1H8	FACE2_DROME	NA	NA	NA
TRINITY_DN10138_c1_g2_i1	sp	Q9H7Z3	NRDE2_HUMAN	NA	NA	NA
TRINITY_DN101389_c0_g1_i1	sp	A8MV24	SPMA1_HUMAN	NA	NA	NA
TRINITY_DN10139_c0_g1_i3	sp	Q9NVI1	FANCI_HUMAN	NA	NA	NA
TRINITY_DN1014_c1_g1_i1	sp	Q27Q52	WNT5A_RABIT	NA	NA	NA
TRINITY_DN101403_c0_g1_i1	sp	Q64701	RBL1_MOUSE	NA	NA	NA
TRINITY_DN101413_c0_g1_i1	sp	A0A1B0GVH7	IQCM_HUMAN	NA	NA	NA
TRINITY_DN101422_c0_g1_i1	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN10143_c0_g1_i2	sp	P03934	TC1A_CAEEL	sp	P03934	TC1A_CAEEL
TRINITY_DN10145_c0_g1_i1	sp	Q5ZIL9	KBP_CHICK	NA	NA	NA
TRINITY_DN101467_c0_g1_i1	sp	Q09575	YRD6_CAEEL	NA	NA	NA
TRINITY_DN10147_c0_g1_i1	sp	Q96L93	KI16B_HUMAN	NA	NA	NA
TRINITY_DN10147_c0_g1_i3	sp	B1AVY7	KI16B_MOUSE	NA	NA	NA
TRINITY_DN10147_c0_g1_i6	sp	B1AVY7	KI16B_MOUSE	NA	NA	NA
TRINITY_DN10148_c0_g1_i1	sp	Q566C8	ANR54_RAT	NA	NA	NA
TRINITY_DN10148_c0_g1_i5	sp	Q91WK7	ANR54_MOUSE	NA	NA	NA
TRINITY_DN1015_c0_g1_i1	sp	Q8BXX2	ZBT49_MOUSE	NA	NA	NA
TRINITY_DN1015_c0_g2_i1	sp	Q93560	BLMP1_CAEEL	NA	NA	NA
TRINITY_DN1015_c0_g3_i1	sp	Q6P2D0	ZFP1_HUMAN	NA	NA	NA
TRINITY_DN1015_c1_g1_i1	sp	Q15776	ZKSC8_HUMAN	NA	NA	NA
TRINITY_DN1015_c1_g1_i2	sp	Q15776	ZKSC8_HUMAN	NA	NA	NA
TRINITY_DN1015_c10_g1_i1	sp	Q12901	ZN155_HUMAN	NA	NA	NA
TRINITY_DN1015_c10_g2_i1	sp	Q5ZM39	BCL6_CHICK	NA	NA	NA
TRINITY_DN1015_c11_g1_i1	sp	P10076	ZFP26_MOUSE	NA	NA	NA
TRINITY_DN1015_c13_g1_i1	sp	P18729	ZG57_XENLA	NA	NA	NA
TRINITY_DN1015_c13_g1_i2	sp	P17141	ZFP37_MOUSE	NA	NA	NA
TRINITY_DN1015_c14_g1_i1	sp	Q96EQ9	PRDM9_MOUSE	NA	NA	NA
TRINITY_DN1015_c16_g1_i1	sp	A1YFW2	ZSC12_PANPA	NA	NA	NA
TRINITY_DN1015_c16_g2_i1	sp	Q9QZ48	ZBT7A_RAT	NA	NA	NA
TRINITY_DN1015_c17_g1_i1	sp	Q147U1	ZN846_HUMAN	NA	NA	NA
TRINITY_DN1015_c18_g1_i1	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN1015_c18_g1_i10	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN1015_c18_g1_i3	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN1015_c18_g1_i5	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN1015_c18_g1_i7	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN1015_c18_g1_i9	sp	Q96EQ9	PRDM9_MOUSE	NA	NA	NA
TRINITY_DN1015_c2_g1_i1	sp	Q147U1	ZN846_HUMAN	NA	NA	NA
TRINITY_DN1015_c2_g1_i4	sp	Q147U1	ZN846_HUMAN	NA	NA	NA
TRINITY_DN1015_c22_g1_i1	sp	Q5MCW4	ZN569_HUMAN	NA	NA	NA
TRINITY_DN1015_c23_g1_i2	sp	A8MT65	ZN891_HUMAN	NA	NA	NA
TRINITY_DN1015_c27_g1_i1	sp	A0JNB1	ZN227_BOVIN	NA	NA	NA
TRINITY_DN1015_c28_g1_i1	sp	Q147U1	ZN846_HUMAN	NA	NA	NA
TRINITY_DN1015_c29_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN1015_c3_g1_i2	sp	B4DU55	ZN879_HUMAN	NA	NA	NA
TRINITY_DN1015_c3_g1_i3	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN1015_c3_g1_i4	sp	B4DU55	ZN879_HUMAN	NA	NA	NA
TRINITY_DN1015_c4_g1_i1	sp	Q80W31	ZN569_MOUSE	NA	NA	NA
TRINITY_DN1015_c5_g1_i1	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN1015_c6_g1_i10	sp	Q8BQN6	OZF_MOUSE	NA	NA	NA
TRINITY_DN1015_c6_g1_i11	sp	Q96NI8	ZN570_HUMAN	NA	NA	NA
TRINITY_DN1015_c6_g1_i2	sp	Q3ZCX4	ZN568_HUMAN	NA	NA	NA
TRINITY_DN1015_c6_g1_i4	sp	Q8BQN6	OZF_MOUSE	NA	NA	NA
TRINITY_DN1015_c6_g1_i5	sp	P0C6Y7	PRDM9_RAT	NA	NA	NA
TRINITY_DN1015_c6_g2_i1	sp	P17025	ZN182_HUMAN	NA	NA	NA
TRINITY_DN1015_c6_g3_i1	sp	P51523	ZNF84_HUMAN	NA	NA	NA
TRINITY_DN1015_c7_g1_i1	sp	Q14590	ZN235_HUMAN	NA	NA	NA
TRINITY_DN10150_c0_g1_i1	sp	P34611	NCL1_CAEEL	NA	NA	NA
TRINITY_DN101505_c0_g1_i1	sp	P28345	MASY_NEUCR	NA	NA	NA
TRINITY_DN10151_c0_g1_i1	sp	O16264	PEBPH_CAEEL	NA	NA	NA
TRINITY_DN10152_c0_g1_i2	sp	Q5R5U3	ZN271_PONAB	NA	NA	NA
TRINITY_DN10152_c1_g1_i1	sp	Q9UJU3	ZN112_HUMAN	NA	NA	NA
TRINITY_DN10152_c13_g1_i1	sp	Q96N20	ZN75A_HUMAN	NA	NA	NA
TRINITY_DN10152_c14_g1_i1	sp	Q4V348	Z658B_HUMAN	NA	NA	NA
TRINITY_DN10152_c2_g1_i1	sp	Q6ZMW2	ZN782_HUMAN	NA	NA	NA
TRINITY_DN10152_c3_g1_i1	sp	P10073	ZSC22_HUMAN	NA	NA	NA
TRINITY_DN10152_c5_g2_i1	sp	P08043	ZFP2_MOUSE	NA	NA	NA
TRINITY_DN10152_c5_g3_i1	sp	Q9UL59	ZN214_HUMAN	NA	NA	NA
TRINITY_DN10152_c7_g1_i1	sp	P24733	MYS_ARGIR	NA	NA	NA
TRINITY_DN10154_c0_g3_i1	sp	P67963	KC1A_XENLA	NA	NA	NA
TRINITY_DN10154_c0_g3_i4	sp	P67963	KC1A_XENLA	NA	NA	NA
TRINITY_DN10156_c12_g1_i1	sp	Q64620	PPP6_RAT	NA	NA	NA
TRINITY_DN10158_c0_g1_i1	sp	Q9HAB8	PPCS_HUMAN	NA	NA	NA
TRINITY_DN10158_c0_g1_i2	sp	Q9HAB8	PPCS_HUMAN	NA	NA	NA
